priceless_euclid;7.24%;27.39MiB / 9.708GiB
alertmanager;0.65%;20.71MiB / 9.708GiB
prometheus;0.00%;41.24MiB / 9.708GiB
grafana;0.19%;53.21MiB / 9.708GiB
logstash;15.44%;767MiB / 9.708GiB
kibana;8.85%;583.1MiB / 9.708GiB
elasticsearch;13.38%;1.925GiB / 9.708GiB
cadvisor;3.03%;42.02MiB / 9.708GiB
node-exporter;0.00%;8.074MiB / 9.708GiB
priceless_euclid;8.92%;28.19MiB / 9.708GiB
alertmanager;0.31%;20.71MiB / 9.708GiB
prometheus;0.12%;41.24MiB / 9.708GiB
grafana;0.20%;53.21MiB / 9.708GiB
logstash;12.81%;770.9MiB / 9.708GiB
kibana;9.84%;583.1MiB / 9.708GiB
elasticsearch;12.31%;1.925GiB / 9.708GiB
cadvisor;4.36%;42.02MiB / 9.708GiB
node-exporter;0.00%;8.074MiB / 9.708GiB
priceless_euclid;13.45%;27.84MiB / 9.708GiB
alertmanager;0.65%;20.71MiB / 9.708GiB
prometheus;0.00%;41.23MiB / 9.708GiB
grafana;0.30%;53.2MiB / 9.708GiB
logstash;24.23%;772.2MiB / 9.708GiB
kibana;13.27%;583.1MiB / 9.708GiB
elasticsearch;16.50%;1.926GiB / 9.708GiB
cadvisor;3.57%;42.84MiB / 9.708GiB
node-exporter;0.00%;8.07MiB / 9.708GiB
priceless_euclid;15.31%;28.83MiB / 9.708GiB
alertmanager;0.22%;20.71MiB / 9.708GiB
prometheus;0.05%;41.23MiB / 9.708GiB
grafana;0.31%;53.2MiB / 9.708GiB
logstash;27.10%;779.7MiB / 9.708GiB
kibana;11.67%;583.4MiB / 9.708GiB
elasticsearch;15.37%;1.926GiB / 9.708GiB
cadvisor;4.44%;42.85MiB / 9.708GiB
node-exporter;0.00%;8.07MiB / 9.708GiB
priceless_euclid;34.15%;28.64MiB / 9.708GiB
alertmanager;2.82%;20.75MiB / 9.708GiB
prometheus;0.00%;41.26MiB / 9.708GiB
grafana;0.30%;53.2MiB / 9.708GiB
logstash;61.79%;780MiB / 9.708GiB
kibana;18.78%;589.3MiB / 9.708GiB
elasticsearch;194.82%;1.926GiB / 9.708GiB
cadvisor;7.99%;43.61MiB / 9.708GiB
node-exporter;0.00%;8.02MiB / 9.708GiB
priceless_euclid;12.31%;28.92MiB / 9.708GiB
alertmanager;0.22%;20.75MiB / 9.708GiB
prometheus;0.44%;41.39MiB / 9.708GiB
grafana;0.98%;53.21MiB / 9.708GiB
logstash;26.48%;780.2MiB / 9.708GiB
kibana;13.92%;589.3MiB / 9.708GiB
elasticsearch;29.12%;1.927GiB / 9.708GiB
cadvisor;3.44%;43.5MiB / 9.708GiB
node-exporter;0.00%;8.02MiB / 9.708GiB
priceless_euclid;15.91%;29.59MiB / 9.708GiB
alertmanager;0.81%;20.75MiB / 9.708GiB
prometheus;0.02%;41.41MiB / 9.708GiB
grafana;0.22%;53.21MiB / 9.708GiB
logstash;30.53%;780.4MiB / 9.708GiB
kibana;13.80%;589.4MiB / 9.708GiB
elasticsearch;47.64%;1.927GiB / 9.708GiB
cadvisor;3.58%;41.96MiB / 9.708GiB
node-exporter;0.00%;7.965MiB / 9.708GiB
priceless_euclid;22.68%;29.68MiB / 9.708GiB
alertmanager;0.36%;20.75MiB / 9.708GiB
prometheus;0.12%;41.41MiB / 9.708GiB
grafana;0.06%;53.21MiB / 9.708GiB
logstash;21.80%;780.7MiB / 9.708GiB
kibana;14.38%;589.5MiB / 9.708GiB
elasticsearch;19.86%;1.927GiB / 9.708GiB
cadvisor;4.19%;41.95MiB / 9.708GiB
node-exporter;0.00%;7.965MiB / 9.708GiB
priceless_euclid;14.79%;30.23MiB / 9.708GiB
alertmanager;0.35%;20.75MiB / 9.708GiB
prometheus;0.18%;41.41MiB / 9.708GiB
grafana;0.07%;53.21MiB / 9.708GiB
logstash;38.79%;794.7MiB / 9.708GiB
kibana;13.78%;589.6MiB / 9.708GiB
elasticsearch;28.27%;1.927GiB / 9.708GiB
cadvisor;3.89%;42.59MiB / 9.708GiB
node-exporter;0.00%;7.977MiB / 9.708GiB
priceless_euclid;18.71%;32.41MiB / 9.708GiB
alertmanager;0.28%;20.75MiB / 9.708GiB
prometheus;0.00%;41.41MiB / 9.708GiB
grafana;0.30%;53.21MiB / 9.708GiB
logstash;54.94%;835.3MiB / 9.708GiB
kibana;14.58%;589.9MiB / 9.708GiB
elasticsearch;24.84%;1.928GiB / 9.708GiB
cadvisor;14.84%;42.61MiB / 9.708GiB
node-exporter;0.00%;7.977MiB / 9.708GiB
